module	p_BH.variety_Vamu	p_BH.variety_Vvcs	p_BH.variety_Vvri	p_BH.variety_Vrip	p_BH.time	trait	correlation	fdr	label
red	0.164681027700985	0.429473224039214	0.976807735688978	0.761317742864415	1.9688913502162e-11	V. riparia	0.0275491851154109	0.761317742864415	0.03
red	0.164681027700985	0.429473224039214	0.976807735688978	0.761317742864415	1.9688913502162e-11	Time	0.5000617633335	1.9688913502162e-11	0.50***
turquoise	0.00316437289149675	0.980015218279177	0.393500470146659	0.123505143106593	1.14424371727782e-43	V. amurensis	0.242021854231224	0.00316437289149675	0.24**
turquoise	0.00316437289149675	0.980015218279177	0.393500470146659	0.123505143106593	1.14424371727782e-43	V. vinifera CS	-0.00192405980572429	0.980015218279177	-0.00
turquoise	0.00316437289149675	0.980015218279177	0.393500470146659	0.123505143106593	1.14424371727782e-43	V. vinifera Riesling	-0.074853743533566	0.393500470146659	-0.07
turquoise	0.00316437289149675	0.980015218279177	0.393500470146659	0.123505143106593	1.14424371727782e-43	V. riparia	-0.132527326114267	0.123505143106593	-0.13
turquoise	0.00316437289149675	0.980015218279177	0.393500470146659	0.123505143106593	1.14424371727782e-43	Time	0.829833266368357	1.14424371727782e-43	0.83***
yellow	0.317008613248397	6.46234427996053e-09	6.90820749336556e-08	7.85129524895612e-40	2.68288489548932e-09	V. amurensis	-0.088586602810097	0.317008613248397	-0.09
yellow	0.317008613248397	6.46234427996053e-09	6.90820749336556e-08	7.85129524895612e-40	2.68288489548932e-09	V. vinifera CS	0.442884205118787	6.46234427996053e-09	0.44***
yellow	0.317008613248397	6.46234427996053e-09	6.90820749336556e-08	7.85129524895612e-40	2.68288489548932e-09	V. vinifera Riesling	0.413259437645492	6.90820749336556e-08	0.41***
yellow	0.317008613248397	6.46234427996053e-09	6.90820749336556e-08	7.85129524895612e-40	2.68288489548932e-09	V. riparia	-0.808366043862235	7.85129524895612e-40	-0.81***
yellow	0.317008613248397	6.46234427996053e-09	6.90820749336556e-08	7.85129524895612e-40	2.68288489548932e-09	Time	0.452993236035099	2.68288489548932e-09	0.45***
