dataset	sample_id	matrix_column	genotype	condition	context	time	replicate	qc_status	source_file
GSE124820	GSM3554559	GSM3554559_D15R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	15	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554560	GSM3554560_D15R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	15	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554561	GSM3554561_D15R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	15	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554562	GSM3554562_D16R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	16	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554563	GSM3554563_D16R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	16	2	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554564	GSM3554564_D16R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	16	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554565	GSM3554565_D17R1VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	17	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554566	GSM3554566_D17R2VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	17	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554567	GSM3554567_D17R3VvcsAligned.counts.txt.gz	Vvcs	room_temperature_deacclimation	raw_counts	17	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554568	GSM3554568_D0R1VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	0	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554569	GSM3554569_D0R2VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	0	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554570	GSM3554570_D0R3VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	0	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554571	GSM3554571_D1R1VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	1	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554572	GSM3554572_D1R2VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	1	2	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554573	GSM3554573_D1R3VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	1	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554574	GSM3554574_D2R1VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	2	1	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554575	GSM3554575_D2R2VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	2	2	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554576	GSM3554576_D2R3VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	2	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554577	GSM3554577_D3R1VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	3	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554578	GSM3554578_D3R2VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	3	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554579	GSM3554579_D3R3VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	3	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554580	GSM3554580_D4R1VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	4	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554581	GSM3554581_D4R2VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	4	2	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554582	GSM3554582_D4R3VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	4	3	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554583	GSM3554583_D4R4VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	4	4	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554584	GSM3554584_D4R5VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	4	5	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554585	GSM3554585_D5R1VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	5	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554586	GSM3554586_D5R2VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	5	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554587	GSM3554587_D6R1VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	6	1	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554588	GSM3554588_D6R2VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	6	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554589	GSM3554589_D6R3VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	6	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554590	GSM3554590_D6R4VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	6	4	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554591	GSM3554591_D7R1VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	7	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554592	GSM3554592_D7R2VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	7	2	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554593	GSM3554593_D7R3VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	7	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554594	GSM3554594_D8R1VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	8	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554595	GSM3554595_D8R2VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	8	2	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554596	GSM3554596_D8R3VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	8	3	watch	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554597	GSM3554597_D8R4VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	8	4	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554598	GSM3554598_D8R5VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	8	5	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554599	GSM3554599_D9R1VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	9	1	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554600	GSM3554600_D9R2VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	9	2	fail	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554601	GSM3554601_D9R3VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	9	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554602	GSM3554602_D10R1VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	10	1	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554603	GSM3554603_D10R2VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	10	2	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
GSE124820	GSM3554604	GSM3554604_D10R3VvriAligned.counts.txt.gz	Vvri	room_temperature_deacclimation	raw_counts	10	3	pass	data/processed/design_qc/GSE124820_raw_counts_design_qc.tsv
