dataset	sample_id	module_color	projected_module_score	sample_index	dataset_short
GSE273240	Deac3_7d_Control_rep2	turquoise	1.82072469288786	9	273240
GSE273240	Deac3_7d_Control_rep3	turquoise	-0.49412949902865	48	273240
GSE273240	Deac3_7d_tetralone-ABA_rep1	turquoise	2.14029550768675	4	273240
GSE273240	Deac3_7d_tetralone-ABA_rep2	turquoise	2.19613200728456	11	273240
GSE273240	Deac3_7d_tetralone-ABA_rep3	turquoise	0.769794321911229	29	273240
GSE273240	Deac3_14d_Control_rep1	turquoise	2.30367938771218	6	273240
GSE273240	Deac3_14d_Control_rep2	turquoise	2.25453958493433	5	273240
GSE273240	Deac3_14d_Control_rep3	turquoise	2.27877122875535	7	273240
GSE273240	Deac3_14d_tetralone-ABA_rep1	turquoise	2.37400203785783	2	273240
GSE273240	Deac3_14d_tetralone-ABA_rep2	turquoise	2.32106542568155	1	273240
GSE273240	Deac3_14d_tetralone-ABA_rep3	turquoise	2.04157690989606	13	273240
GSE184114	Accl_Acclimation_Control_0_1	blue	0.598018208813142	44	184114
GSE184114	Accl_Acclimation_Control_0_2	blue	0.552454481942958	38	184114
GSE184114	Accl_Acclimation_Control_0_3	blue	0.900814925996741	66	184114
GSE184114	Accl_Acclimation_Control_0_4	blue	0.707687057862091	55	184114
GSE184114	Accl_Acclimation_Control_0_1.1	blue	0.598018208813142	45	184114
GSE184114	Accl_Acclimation_Control_0_2.1	blue	0.552454481942958	39	184114
GSE184114	Accl_Acclimation_Control_0_3.1	blue	0.900814925996741	67	184114
GSE184114	Accl_Acclimation_Control_0_4.1	blue	0.707687057862091	56	184114
GSE184114	Accl_Acclimation_Control_2_2	blue	0.471334922065692	33	184114
GSE184114	Accl_Acclimation_Control_2_3	blue	0.742215623410647	58	184114
GSE184114	Accl_Acclimation_Control_2_4	blue	0.577196019562405	42	184114
GSE184114	Accl_Acclimation_ABA_2_1	blue	0.773087308471606	59	184114
GSE184114	Accl_Acclimation_ABA_2_2	blue	0.937658321642114	69	184114
GSE184114	Accl_Acclimation_ABA_2_3	blue	0.499148208274787	34	184114
GSE184114	Accl_Acclimation_ABA_2_4	blue	0.530863887437294	37	184114
GSE184114	Accl_Acclimation_Control_4_1	blue	0.223930861630422	28	184114
GSE184114	Accl_Acclimation_Control_4_2	blue	0.347553894973645	30	184114
GSE184114	Accl_Acclimation_Control_4_3	blue	0.666291630456299	53	184114
GSE184114	Accl_Acclimation_Control_4_4	blue	0.401824662585404	31	184114
GSE184114	Accl_Acclimation_ABA_4_1	blue	0.910742563067111	68	184114
GSE184114	Accl_Acclimation_ABA_4_2	blue	0.826224165884016	63	184114
GSE184114	Accl_Acclimation_ABA_4_3	blue	0.656823142964209	50	184114
GSE184114	Accl_Acclimation_ABA_4_4	blue	0.638565107708614	46	184114
GSE184114	Accl_Acclimation_Control_24_1	blue	0.514521432631351	35	184114
GSE184114	Accl_Acclimation_Control_24_2	blue	0.527741479374078	36	184114
GSE184114	Accl_Acclimation_Control_24_3	blue	0.810433390056056	60	184114
GSE184114	Accl_Acclimation_Control_24_4	blue	0.640604898935585	48	184114
GSE184114	Accl_Acclimation_ABA_24_2	blue	1.19965684865838	74	184114
GSE184114	Accl_Acclimation_ABA_24_3	blue	1.00236714572987	72	184114
GSE184114	Accl_Acclimation_ABA_24_4	blue	0.971656694735248	71	184114
GSE184114	Accl_Acclimation_Control_48_1	blue	0.657971702749292	51	184114
GSE184114	Accl_Acclimation_Control_48_2	blue	0.574468924979316	41	184114
GSE184114	Accl_Acclimation_Control_48_3	blue	0.569043539822841	40	184114
GSE184114	Accl_Acclimation_Control_48_4	blue	0.437209660309567	32	184114
GSE184114	Accl_Acclimation_ABA_48_1	blue	0.853338861243669	64	184114
GSE184114	Accl_Acclimation_ABA_48_2	blue	1.0944725662152	73	184114
GSE184114	Accl_Acclimation_Control_2_1	blue	0.638819771105118	47	184114
GSE184114	Accl_Acclimation_ABA_24_1	blue	0.734750571545114	57	184114
GSE184114	Accl_Acclimation_ABA_48_3	blue	0.958373322204187	70	184114
GSE184114	Accl_Acclimation_ABA_48_4	blue	0.689887218581808	54	184114
GSE184114	Deaccl_Deacclimation_ABA_12_1	blue	0.878989395740336	65	184114
GSE184114	Deaccl_Deacclimation_ABA_12_2	blue	0.816473368481248	61	184114
GSE184114	Deaccl_Deacclimation_ABA_12_3	blue	0.817710754708472	62	184114
GSE184114	Deaccl_Deacclimation_ABA_24_1	blue	0.23422086395528	29	184114
GSE184114	Deaccl_Deacclimation_ABA_24_2	blue	0.195224081190345	26	184114
GSE184114	Deaccl_Deacclimation_ABA_24_3	blue	0.217771835325409	27	184114
