gene_id	k	estimate	se_hk	ci_low	ci_high	p_value	tau2	i2	q	q_hk	padj	heterogeneity_high	all_varieties_same_sign	all_loo_same_sign	robust_meta_gene	module_color	class	neglog10_fdr
Vitvi05g00460	4	2.76555914404041	0.830153181412644	0.123641219034221	5.40747706904659	0.0446731012403344	1.97874744034965	0.761719859217351	12.5902225428702	1.03766746645473	0.0972176172868568	TRUE	TRUE	TRUE	FALSE	turquoise	Not robust	1.01225502728381
Vitvi05g00461	4	1.256309719646	0.139219593152066	0.813250839796106	1.69936859949589	0.00287347677122805	0	0	1.30683394006837	0.435611313356123	0.0309207537836398	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.50974992742884
Vitvi05g00462	4	-0.245172491067478	0.625871776800884	-2.2369758147288	1.74663083259384	0.721426124977665	1.44381420770279	0.929335739488943	42.4542757300996	0.99316150144077	0.777792031174349	TRUE	FALSE	FALSE	FALSE	NA	Not robust	0.109136510706091
Vitvi05g00463	4	0.10418107895704	0.228421989112061	-0.622759636338193	0.831121794252273	0.679316721744881	0.131233920516013	0.645320067787593	8.4583302508454	1.02073936766032	0.743061097480703	FALSE	FALSE	FALSE	FALSE	NA	Not robust	0.128975475327151
Vitvi05g00464	4	-1.95801476286353	0.286315829348761	-2.86919951611873	-1.04683000960833	0.00639880807406814	0.271836822373323	0.83723811697272	18.4318339417171	0.993561059484604	0.0375308459209493	TRUE	TRUE	TRUE	TRUE	NA	Other robust	1.42561164676038
Vitvi05g00467	4	2.62409232581105	0.789423650957912	0.111793944516464	5.13639070710563	0.0449177116703547	2.32245509486379	0.934494597661429	45.7977493901066	0.9980126302432	0.0976041937500334	TRUE	TRUE	TRUE	FALSE	turquoise	Not robust	1.01053152164305
Vitvi05g00468	4	-2.88634601550249	0.939816121137587	-5.87726035786287	0.104568326857887	0.0545117567029751	3.10301074332985	0.885739929930515	26.2558914778856	0.992654996605039	0.110801388530691	TRUE	TRUE	TRUE	FALSE	blue	Not robust	0.955454797121682
Vitvi05g00469	4	-0.446503962145042	0.179122389418574	-1.01655134854377	0.123543424253688	0.0882709099574464	0	0	1.58708098171841	0.529026993906137	0.153556207883002	FALSE	TRUE	TRUE	FALSE	NA	Not robust	0.813732621455792
Vitvi05g00470	4	0.295186114084537	0.147140305950141	-0.173080008944802	0.763452237113876	0.13849797366442	0.0396712018138932	0.466697677347721	5.6253270847951	1.00728012226953	0.212915932496416	FALSE	TRUE	TRUE	FALSE	NA	Not robust	0.671791839095351
Vitvi05g00472	4	4.33424015399977	0.676923128751169	2.17996864394452	6.48851166405501	0.00771738084446304	1.35816008061694	0.774230166397073	13.2878691192919	1.08470277103574	0.040017103554097	TRUE	TRUE	TRUE	TRUE	turquoise	Turquoise module	1.39775434888311
Vitvi05g00474	4	4.23649455116947	0.833987345404167	1.58237460513461	6.89061449720433	0.0147377314964601	2.61464988009715	0.941962655693684	51.6908558766281	0.999319676581824	0.0518612668892893	TRUE	TRUE	TRUE	FALSE	turquoise	Not robust	1.28515687830506
Vitvi05g00475	4	-2.78996840282891	0.716116547494775	-5.06897086355618	-0.510965942101636	0.030001525290937	1.77944241954053	0.88952817254677	27.1562448921205	0.975742061553966	0.0762657853430958	TRUE	TRUE	TRUE	FALSE	blue	Not robust	1.11767025325482
Vitvi05g00476	4	8.02743007478634	0.851237584170628	5.31841217012389	10.7364479794488	0.00252689086393692	1.90506409510266	0.745172639100913	11.7726761734507	0.819546617901994	0.0301626510724932	FALSE	TRUE	TRUE	TRUE	turquoise	Turquoise module	1.52053048987269
Vitvi05g00481	4	4.95031462431251	1.3204752041725	0.747973189574978	9.15265605905004	0.033141570907445	4.32156741634374	0.656380188023512	8.73057924903721	0.921356909050047	0.0804587650451631	FALSE	TRUE	TRUE	FALSE	NA	Not robust	1.09442663766318
Vitvi05g00482	4	2.80961751757785	1.08229819283407	-0.634738367422175	6.25397340257787	0.0806560714266077	3.44686059217701	0.753866907647024	12.1885276429946	1.06049178369523	0.144106934104914	TRUE	TRUE	TRUE	FALSE	NA	Not robust	0.841315121399418
Vitvi05g00485	4	1.78115892814893	0.891109581639489	-1.05474946754258	4.61706732384043	0.139486722751203	2.6288279014825	0.86996278799111	23.070319285182	0.950276253175733	0.214141110869808	TRUE	FALSE	TRUE	FALSE	NA	Not robust	0.669299948726278
Vitvi05g00486	4	-3.08790114375666	0.536574970454435	-4.79552217598709	-1.38028011152623	0.0104248140612282	1.0131276995327	0.884021188567081	25.866793795651	1.01627907459842	0.044908714689411	TRUE	TRUE	TRUE	TRUE	blue	Blue module	1.3476693744916
Vitvi05g00487	4	3.69228462713418	0.647218213337126	1.63254741538712	5.75202183888124	0.0106823994213331	1.0446393009784	0.70543891299719	10.1846446539335	0.802144567377921	0.0454152678716677	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.34279811988044
Vitvi05g00490	4	2.6543513461585	0.150919908915847	2.17405683963551	3.13464585268149	0.000400685628173728	0	0	2.89201216066704	0.964004053555679	0.0296011433169148	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.52869151439248
Vitvi05g00492	4	1.34721242884131	0.131302031869239	0.929350762642809	1.76507409503982	0.00197388425889321	0	0	1.6293306644875	0.543110221495832	0.0299118315013372	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.52415699430495
Vitvi05g00496	4	0.168807729898929	0.171109908985745	-0.375740367750187	0.713355827548046	0.396603072330516	0	0	1.94738876393136	0.649129587977119	0.484058610344261	FALSE	FALSE	TRUE	FALSE	NA	Not robust	0.315102050322479
Vitvi05g00497	4	0.331398936604222	0.258414316463125	-0.490990750056266	1.15378862326471	0.28980313584569	0.222650350165224	0.8362832697596	18.3243337171151	1.01674051604006	0.376486877807618	TRUE	FALSE	TRUE	FALSE	NA	Not robust	0.424250156236339
Vitvi05g00498	4	0.122026291755813	0.260121199692673	-0.705795459132099	0.949848042643725	0.670976026123048	0.162247710155279	0.638700218873465	8.30335404756122	0.972651210532865	0.7361347959307	FALSE	FALSE	FALSE	FALSE	NA	Not robust	0.133042653368025
Vitvi05g00499	4	0.913859359645151	0.156341358097898	0.416311382203459	1.41140733708684	0.0099790281428301	0	0	2.52543760825729	0.841812536085762	0.044335092043472	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.35325238556553
Vitvi05g00500	4	-0.0966871832117108	0.118988664027349	-0.475362217416191	0.281987850992769	0.475954677010891	0	0.0983024412777332	3.32705791535145	1.10901930511715	0.560019706287936	FALSE	FALSE	TRUE	FALSE	NA	Not robust	0.251796690526782
Vitvi05g00503	4	0.856591824979984	0.0982134695701044	0.544032731617511	1.16915091834246	0.00317308347695611	0	0	0.309178644168516	0.103059548056172	0.0317576542812522	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.49815158339641
Vitvi05g00504	4	0.20321552804794	0.187392986782144	-0.393152590372972	0.799583646468852	0.357540594017582	0	0	0.569060876032244	0.189686958677415	0.445128406772054	FALSE	TRUE	TRUE	FALSE	NA	Not robust	0.351514689449917
Vitvi05g00505	4	2.28009919621222	0.836027513502851	-0.380513475250458	4.94071186767489	0.0721043282611052	2.36872056797165	0.870102506544976	23.0951338644478	0.993499727616499	0.133307263254066	TRUE	TRUE	TRUE	FALSE	turquoise	Not robust	0.875146187381142
Vitvi05g00506	4	0.417085809182255	0.130749204185226	0.000983487404195738	0.833188130960313	0.049712296745827	0	0	2.42105257915645	0.807017526385482	0.104267593728157	FALSE	TRUE	TRUE	FALSE	NA	Not robust	0.981850648926164
Vitvi05g00508	4	0.314338654156152	0.532737747506532	-1.38107062208117	2.00974793039348	0.596656404152274	0.958648898984018	0.852725105211497	20.3700705697886	1.0114431794532	0.670902224029528	TRUE	FALSE	TRUE	FALSE	NA	Not robust	0.173340768442881
Vitvi05g00509	4	5.58026315818959	0.711345559358742	3.31644411102839	7.84408220535079	0.00431428193857932	1.0537988068483	0.559789714656425	6.81492482089227	0.749870988698924	0.0340939570024627	FALSE	TRUE	TRUE	TRUE	turquoise	Turquoise module	1.46732259089184
Vitvi05g00510	4	-3.40927826210516	1.18627125659206	-7.18452283971082	0.36596631550051	0.0638440361401525	5.07515247915599	0.918227564356981	36.6871791993162	0.984293934116543	0.122813393107049	TRUE	TRUE	TRUE	FALSE	NA	Not robust	0.910754269715042
