gene_id	Vamu	Vvcs	Vvri	Vrip
Vitvi01g00192	TRUE	FALSE	FALSE	FALSE
Vitvi01g00196	TRUE	TRUE	TRUE	TRUE
Vitvi01g00197	FALSE	TRUE	TRUE	TRUE
Vitvi01g00198	TRUE	TRUE	FALSE	TRUE
Vitvi01g00199	TRUE	TRUE	TRUE	TRUE
Vitvi01g00201	TRUE	TRUE	TRUE	TRUE
Vitvi01g00202	TRUE	TRUE	FALSE	TRUE
Vitvi01g00203	TRUE	TRUE	TRUE	TRUE
Vitvi01g00204	TRUE	TRUE	TRUE	TRUE
Vitvi01g00211	TRUE	TRUE	TRUE	TRUE
Vitvi01g00214	TRUE	TRUE	TRUE	TRUE
Vitvi01g00215	TRUE	TRUE	TRUE	TRUE
Vitvi01g00216	TRUE	TRUE	TRUE	TRUE
Vitvi01g00217	TRUE	TRUE	FALSE	TRUE
Vitvi01g00218	TRUE	TRUE	TRUE	TRUE
Vitvi01g00219	TRUE	TRUE	TRUE	TRUE
Vitvi01g00220	TRUE	TRUE	TRUE	TRUE
Vitvi01g00221	FALSE	FALSE	FALSE	TRUE
Vitvi01g00222	TRUE	TRUE	TRUE	TRUE
Vitvi01g00223	FALSE	FALSE	FALSE	TRUE
Vitvi01g00224	TRUE	TRUE	TRUE	TRUE
Vitvi01g00225	TRUE	TRUE	TRUE	FALSE
Vitvi01g00226	TRUE	TRUE	TRUE	TRUE
Vitvi01g00227	TRUE	TRUE	TRUE	TRUE
Vitvi01g00228	FALSE	TRUE	TRUE	TRUE
Vitvi01g00230	TRUE	TRUE	TRUE	TRUE
Vitvi01g00232	TRUE	TRUE	TRUE	TRUE
Vitvi01g00233	TRUE	TRUE	TRUE	TRUE
Vitvi01g00234	TRUE	TRUE	TRUE	TRUE
Vitvi01g00236	TRUE	TRUE	TRUE	TRUE
Vitvi01g00237	TRUE	TRUE	TRUE	TRUE
Vitvi01g00238	TRUE	TRUE	TRUE	TRUE
Vitvi01g00239	FALSE	TRUE	TRUE	FALSE
