gene_id	i2	group	robust_meta_gene
Vitvi01g00311	0.799733753474324	All genes	FALSE
Vitvi01g00312	0.803848427836007	All genes	FALSE
Vitvi01g00313	0	All genes	TRUE
Vitvi01g00314	0.511684865715134	All genes	FALSE
Vitvi01g00317	0.594611648721163	Blue	TRUE
Vitvi01g00318	0.865482584222447	Turquoise	TRUE
Vitvi01g00320	0.878671847998309	Turquoise	TRUE
Vitvi01g00321	0.810733474473909	All genes	FALSE
Vitvi01g00325	0.618074083427313	All genes	FALSE
Vitvi01g00326	0.907346520212764	All genes	FALSE
Vitvi01g00327	0.927690576921292	Blue	FALSE
Vitvi01g00328	0.64858094231105	All genes	TRUE
Vitvi01g00330	0.697008288981197	Blue	FALSE
Vitvi01g00331	0.769235814845185	Turquoise	TRUE
Vitvi01g00332	0	All genes	TRUE
Vitvi01g00333	0	All genes	FALSE
Vitvi01g00335	0	All genes	FALSE
Vitvi01g00337	0.844326856327813	Turquoise	TRUE
Vitvi01g00338	0.809462814535287	All genes	FALSE
Vitvi01g00339	0.599182478810987	All genes	TRUE
Vitvi01g00340	0.562616064069976	All genes	FALSE
Vitvi01g00342	0	All genes	TRUE
Vitvi01g00343	0.674556145065546	All genes	FALSE
Vitvi01g00344	0.933601374231503	Blue	FALSE
Vitvi01g00345	0.300135545129854	All genes	TRUE
Vitvi01g00346	0.535226116879465	All genes	FALSE
Vitvi01g00348	0.751231799861049	All genes	FALSE
Vitvi01g00349	0	All genes	FALSE
Vitvi01g00350	0.799424064705471	All genes	FALSE
Vitvi01g00352	0.401925814477362	All genes	TRUE
Vitvi01g00353	0	All genes	FALSE
Vitvi01g00354	0.915869149613911	Blue	FALSE
Vitvi01g00355	0.864993684069796	All genes	TRUE
Vitvi01g00357	0.346882807446223	All genes	FALSE
Vitvi01g00358	0.249913303631216	All genes	TRUE
Vitvi01g00360	0.794127341741824	All genes	FALSE
Vitvi01g00361	0.90031465748874	All genes	FALSE
Vitvi01g00362	0.896755704588167	Blue	FALSE
Vitvi01g00363	0.423241383592141	All genes	TRUE
Vitvi01g00365	0	All genes	FALSE
Vitvi01g00366	0	Turquoise	FALSE
Vitvi01g00368	0.693456560751054	All genes	FALSE
Vitvi01g00369	0.503568061026452	All genes	TRUE
Vitvi01g00372	0.553035753197375	Turquoise	FALSE
Vitvi01g00373	0.654459702646104	All genes	FALSE
Vitvi01g00374	0.922947499313564	All genes	FALSE
Vitvi01g00375	0.79066184523594	All genes	TRUE
Vitvi01g00376	0	All genes	TRUE
Vitvi01g00377	0.249975856313567	All genes	TRUE
Vitvi01g00379	0.849717197702013	Blue	FALSE
Vitvi01g00380	0.796405196480555	All genes	FALSE
Vitvi01g00381	0.85978257450256	All genes	FALSE
Vitvi01g00382	0.823091995578198	All genes	FALSE
Vitvi01g00383	0.758528146190536	All genes	FALSE
Vitvi01g00384	0.932811674753536	All genes	FALSE
Vitvi01g00385	0	All genes	FALSE
Vitvi01g00386	0.921628437881371	All genes	FALSE
Vitvi01g00387	0.957184206700224	All genes	FALSE
Vitvi01g00388	0.74081528400277	Blue	TRUE
