accession	label	sample_accession	matrix_column	sample_title	tissue	organism	genotype	short_genotype	time	time_unit	replicate	treatment	experiment	library_size	detected_genes	qc_status	qc_reason
GSE273240	tetralone_ABA	GSM8424805	Deac3_3d_Control_rep2	Deac3_3d_Control_rep2	bud	Vitis vinifera	Riesling	Riesling	3	day	2	Control	Deac3	2750499	20168	pass	
GSE273240	tetralone_ABA	GSM8424806	Deac3_3d_Control_rep3	Deac3_3d_Control_rep3	bud	Vitis vinifera	Riesling	Riesling	3	day	3	Control	Deac3	2404971	19942	pass	
GSE273240	tetralone_ABA	GSM8424807	Deac3_3d_tetralone-ABA_rep1	Deac3_3d_tetralone-ABA_rep1	bud	Vitis vinifera	Riesling	Riesling	3	day	1	tetralone-ABA	Deac3	2528004	19404	pass	
GSE273240	tetralone_ABA	GSM8424808	Deac3_3d_tetralone-ABA_rep2	Deac3_3d_tetralone-ABA_rep2	bud	Vitis vinifera	Riesling	Riesling	3	day	2	tetralone-ABA	Deac3	2473721	18495	pass	
GSE273240	tetralone_ABA	GSM8424809	Deac3_3d_tetralone-ABA_rep3	Deac3_3d_tetralone-ABA_rep3	bud	Vitis vinifera	Riesling	Riesling	3	day	3	tetralone-ABA	Deac3	3386691	19594	pass	
GSE273240	tetralone_ABA	GSM8424810	Deac3_5d_Control_rep1	Deac3_5d_Control_rep1	bud	Vitis vinifera	Riesling	Riesling	5	day	1	Control	Deac3	1802148	19079	pass	
GSE273240	tetralone_ABA	GSM8424811	Deac3_5d_Control_rep2	Deac3_5d_Control_rep2	bud	Vitis vinifera	Riesling	Riesling	5	day	2	Control	Deac3	2100899	19184	pass	
GSE273240	tetralone_ABA	GSM8424812	Deac3_5d_Control_rep3	Deac3_5d_Control_rep3	bud	Vitis vinifera	Riesling	Riesling	5	day	3	Control	Deac3	2667897	19397	pass	
GSE273240	tetralone_ABA	GSM8424813	Deac3_5d_tetralone-ABA_rep1	Deac3_5d_tetralone-ABA_rep1	bud	Vitis vinifera	Riesling	Riesling	5	day	1	tetralone-ABA	Deac3	2012860	18733	pass	
GSE273240	tetralone_ABA	GSM8424814	Deac3_5d_tetralone-ABA_rep2	Deac3_5d_tetralone-ABA_rep2	bud	Vitis vinifera	Riesling	Riesling	5	day	2	tetralone-ABA	Deac3	2267858	19295	pass	
GSE273240	tetralone_ABA	GSM8424815	Deac3_5d_tetralone-ABA_rep3	Deac3_5d_tetralone-ABA_rep3	bud	Vitis vinifera	Riesling	Riesling	5	day	3	tetralone-ABA	Deac3	2725978	19313	pass	
GSE273240	tetralone_ABA	GSM8424816	Deac3_7d_Control_rep1	Deac3_7d_Control_rep1	bud	Vitis vinifera	Riesling	Riesling	7	day	1	Control	Deac3	2488890	19304	pass	
GSE273240	tetralone_ABA	GSM8424817	Deac3_7d_Control_rep2	Deac3_7d_Control_rep2	bud	Vitis vinifera	Riesling	Riesling	7	day	2	Control	Deac3	2565047	19632	pass	
GSE273240	tetralone_ABA	GSM8424818	Deac3_7d_Control_rep3	Deac3_7d_Control_rep3	bud	Vitis vinifera	Riesling	Riesling	7	day	3	Control	Deac3	2005297	18176	pass	
GSE273240	tetralone_ABA	GSM8424819	Deac3_7d_tetralone-ABA_rep1	Deac3_7d_tetralone-ABA_rep1	bud	Vitis vinifera	Riesling	Riesling	7	day	1	tetralone-ABA	Deac3	1090222	17358	pass	
GSE273240	tetralone_ABA	GSM8424820	Deac3_7d_tetralone-ABA_rep2	Deac3_7d_tetralone-ABA_rep2	bud	Vitis vinifera	Riesling	Riesling	7	day	2	tetralone-ABA	Deac3	2904877	19120	pass	
GSE273240	tetralone_ABA	GSM8424821	Deac3_7d_tetralone-ABA_rep3	Deac3_7d_tetralone-ABA_rep3	bud	Vitis vinifera	Riesling	Riesling	7	day	3	tetralone-ABA	Deac3	3280748	19882	pass	
GSE273240	tetralone_ABA	GSM8424822	Deac3_14d_Control_rep1	Deac3_14d_Control_rep1	bud	Vitis vinifera	Riesling	Riesling	14	day	1	Control	Deac3	1711473	19016	pass	
GSE273240	tetralone_ABA	GSM8424823	Deac3_14d_Control_rep2	Deac3_14d_Control_rep2	bud	Vitis vinifera	Riesling	Riesling	14	day	2	Control	Deac3	2717590	19612	pass	
GSE273240	tetralone_ABA	GSM8424824	Deac3_14d_Control_rep3	Deac3_14d_Control_rep3	bud	Vitis vinifera	Riesling	Riesling	14	day	3	Control	Deac3	2426494	19257	pass	
GSE273240	tetralone_ABA	GSM8424825	Deac3_14d_tetralone-ABA_rep1	Deac3_14d_tetralone-ABA_rep1	bud	Vitis vinifera	Riesling	Riesling	14	day	1	tetralone-ABA	Deac3	3158788	19841	pass	
GSE273240	tetralone_ABA	GSM8424826	Deac3_14d_tetralone-ABA_rep2	Deac3_14d_tetralone-ABA_rep2	bud	Vitis vinifera	Riesling	Riesling	14	day	2	tetralone-ABA	Deac3	2813556	19529	pass	
GSE273240	tetralone_ABA	GSM8424827	Deac3_14d_tetralone-ABA_rep3	Deac3_14d_tetralone-ABA_rep3	bud	Vitis vinifera	Riesling	Riesling	14	day	3	tetralone-ABA	Deac3	3453659	20489	pass	
