module_color	variety	time	mean	sem	n
brown	Vvcs	10	0.0588537151416504	0.0015623536887709	2
brown	Vvcs	11	0.0391651530805201	0.027308682892581	3
brown	Vvcs	12	-0.0109176158691156	0.00618779307718559	3
brown	Vvcs	13	0.00237540650777375	0.0287384044763111	2
brown	Vvcs	14	-0.0593584470487715	0.0185771113662742	3
brown	Vvcs	15	0.0153793860514925	0.0143589776621432	3
brown	Vvcs	16	-0.0882560878368184	0.0247293360387037	3
brown	Vvcs	17	-0.0724014346809999	0.0226681224068509	3
brown	Vvri	0	0.0398528609625425	0.0118131115352704	3
brown	Vvri	1	0.0963954893373809	0.0161911010958441	3
brown	Vvri	2	0.0970428291672426	0.0103603741916056	3
brown	Vvri	3	0.0969475793204557	0.019465145043311	3
brown	Vvri	4	0.1128534420997	0.0340523284602922	2
brown	Vvri	5	0.110731028425297	0.0062764529639525	2
brown	Vvri	6	0.0868944391109689	0.00400790510284648	4
brown	Vvri	7	0.0773509092035808	0.0138599493750277	3
brown	Vvri	8	0.0839324727592932	0.00488278658880861	4
brown	Vvri	9	0.0105184866318922	NA	1
brown	Vvri	10	0.0538876640947853	0.020392608619319	3
brown	Vvri	11	0.0023036863509879	0.0437826200583602	3
brown	Vvri	12	0.0351682724089218	0.00848510986925184	3
brown	Vvri	13	0.0242857360147333	0.0212162620000993	3
brown	Vvri	14	-0.0600909523489284	0.0100174853688035	3
brown	Vvri	15	-0.0835520352854738	0.011466602998396	3
turquoise	Vamu	0	-0.0921372213300488	0.00583712641685357	4
turquoise	Vamu	1	-0.049125414440991	0.00295787401868181	3
turquoise	Vamu	2	0.00446879164112143	0.00304996137025185	3
turquoise	Vamu	3	0.0152267395820201	0.00730193757515319	3
turquoise	Vamu	4	0.0534335901501044	0.00242242586055319	3
turquoise	Vamu	5	0.0860553892523929	0.00360208080223244	3
turquoise	Vamu	7	0.106535682487855	0.00583976562744495	3
turquoise	Vamu	8	0.107725004744456	0.0128342102116753	3
turquoise	Vamu	9	0.117346466342445	0.0021264934498085	2
turquoise	Vamu	10	0.121788102583747	0.0039553432655026	3
turquoise	Vrip	0	-0.110256407860217	0.00242062326562777	6
turquoise	Vrip	1	-0.0901966226981786	0.00266487042661097	4
turquoise	Vrip	2	-0.0720167899297474	0.00262547351289255	3
turquoise	Vrip	3	-0.0500932623855325	0.0040440620877463	4
turquoise	Vrip	4	-0.0455681155548211	0.0090892794907794	2
turquoise	Vrip	5	-0.0404380027982129	0.000333906393189127	3
turquoise	Vrip	6	-0.0306170743925043	0.00818730352903609	4
turquoise	Vrip	7	-0.0144206708728944	0.0205595684723644	3
turquoise	Vrip	8	0.0370827949143067	0.0335338385624647	3
turquoise	Vrip	9	0.0436870347809941	0.0227146437664016	3
turquoise	Vrip	10	0.0831105080082525	0.0119317611113728	3
turquoise	Vrip	11	0.098650729714626	0.00942859132604118	3
turquoise	Vrip	12	0.0903269127572354	0.00627138579717009	3
turquoise	Vvcs	0	-0.118958460428895	0.00517045639901902	3
turquoise	Vvcs	1	-0.0978906709176251	0.00182043301112083	3
turquoise	Vvcs	2	-0.0756768620795809	0.00869247292643772	3
turquoise	Vvcs	3	-0.0664316302743375	0.00474042182739011	3
turquoise	Vvcs	4	-0.0528028731865973	0.00632019555396337	3
turquoise	Vvcs	5	-0.0556027481854322	0.000575525286575571	3
turquoise	Vvcs	6	-0.0496702243577234	0.0060237013918639	4
turquoise	Vvcs	7	-0.0500363452663158	0.00886387853344226	3
turquoise	Vvcs	8	-0.00113198430618973	0.0218634076805998	3
turquoise	Vvcs	9	-0.0043669571917699	0.0217661170733844	2
turquoise	Vvcs	10	0.0172887991609307	0.0040650116807552	2
turquoise	Vvcs	11	0.0568373967791494	0.0142193017538632	3
turquoise	Vvcs	12	0.0815538655175143	0.00681302323108328	3
turquoise	Vvcs	13	0.0723728169353852	0.0210204843418646	2
turquoise	Vvcs	14	0.104806939045274	0.00418328428929251	3
turquoise	Vvcs	15	0.0597280404563242	0.00950135404491628	3
turquoise	Vvcs	16	0.111225345948285	0.00333457881300526	3
turquoise	Vvcs	17	0.109880840762534	0.00734413151436327	3
turquoise	Vvri	0	-0.114875833177778	0.00345469718179033	3
turquoise	Vvri	1	-0.0918781750520977	0.00950798718324636	3
turquoise	Vvri	2	-0.072920445732625	0.00251768798150925	3
turquoise	Vvri	3	-0.0612706249610775	0.0047335672102885	3
turquoise	Vvri	4	-0.0555328002851214	0.00713125528424995	2
turquoise	Vvri	5	-0.0548287821838047	0.0037388056223207	2
turquoise	Vvri	6	-0.0521268056550616	0.000260461451882236	4
turquoise	Vvri	7	-0.0400830670519507	0.0106802769875464	3
turquoise	Vvri	8	-0.0203514606004636	0.0076598401855106	4
turquoise	Vvri	9	0.0250594366144001	NA	1
turquoise	Vvri	10	0.0173562266793891	0.034093605142844	3
turquoise	Vvri	11	0.0545307465491162	0.0298375614228639	3
turquoise	Vvri	12	0.0493330394598382	0.00567129108287572	3
turquoise	Vvri	13	0.0613321458067763	0.0133810945080203	3
turquoise	Vvri	14	0.105821322903982	0.00241557374898778	3
turquoise	Vvri	15	0.109672355396542	0.00215905497794634	3
